,Unnamed: 0,transcripts,confidence,location_extraction
83,83,dude imagine for is available for Miss about jacket Badr and 20th will handle as well as you want,0.8156542181968689,20th Street
85,85,sale 1934 you Clifford,0.7059071063995361,Sale Avenue
87,87,Transformer that's bromilow,0.8656234741210938,Bromilow Lane
88,88,severns,0.7093737721443176,Severns Lane
90,90,Citadel,0.5650841593742371,Citadel Way
91,91,Berry bad for 7 for 15 family and Harry early very,0.7168133854866028,"Berry Court , Family Way , Harry Lane"
92,92,Jeannie more units for you,0.7241923213005066,Jeannie Lane
94,94,Moore 17 minutes she's after the person that doesn't have permission to be there and wants to talk to you,0.8376420140266418,Moore Road
95,95,Al fire orbital,0.638992190361023,Al Road
97,97,Pheasant Point no hazards just giving you an update,0.7990129590034485,"Pheasant Lane , No Way"
98,98,Fremont working for you,0.6746376156806946,Fremont Drive
100,100,Hart of my sisters,0.6271108984947205,"Hart Lane , My Way"
101,101,this is Juliette French Park,0.7032965421676636,"French Avenue , Park Way"
102,102,if I can prevent forest neutral hegan hybrid,0.6523802280426025,"Forest Lane , Hegan Lane"
103,103,everyone possesses Andre fall one for five Sequoyah Avenue crossbow,0.7623040676116943,"Sequoyah Avenue , Sequoyah Avenue"
104,104,Lucy,0.44093918800354,Lucy Way
105,105,Santana,0.5058671832084656,Santana Court
107,107,Pratt,0.3565696179866791,Pratt Avenue
109,109,efforts that we're going we're looking at Barrett-Jackson lineup Grass Valley to the plunder of side copy 50 all the results,0.8376345634460449,"Jackson Street , Grass Court , Valley Court"
112,112,Waterford patrols neighborhood,0.679216742515564,Waterford Drive
115,115,tree of each other can I give you grandma's name it we can do a reverse for a Ford Explorer,0.7919379472732544,"A Street , A Street , Ford Avenue"
116,116,Covey 5/3 West Sixth Avenue,0.7254759669303894,"Covey Court , West Drive"
117,117,you have the address of the 27 out of the 18 wheeler,0.7348182797431946,Wheeler Road
119,119,table is tilted Katie cross oval and round here are three,0.7143937349319458,Katie Court
120,120,Frances,0.4256947934627533,Frances Drive
121,121,golf is a fairly you have a water tender that can respond to Billy and Laurel,0.8474265933036804,"Golf Road , A Street , A Street , Laurel Drive"
122,122,Kevin Durand fun accessories your appearance preordained,0.6564906239509583,Kevin Court
127,127,Coffey size estimate has a head of state pronounce,0.7780018448829651,"Coffey Lane , A Street , State Street"
128,128,c 1 or 5,0.5168983340263367,C Street
130,130,Cottage,0.38175225257873535,Cottage Lane
131,131,75 additionally Andrew Reynoso and Taylor more are clear,0.8336341977119446,"Andrew Place , Taylor Lane"
133,133,Colossus I give you a actually easy and give you this,0.8036119937896729,A Street
140,140,division three edges five I'm go ahead and division three,0.7625227570533752,Go Street
142,142,Lodge imaginary to your battle station 31st out there,0.7363405227661133,Lodge Court
143,143,it's all Brooke the alleyway our very first reports,0.6944079995155334,Our Way
144,144,Big River,0.5487760305404663,River Avenue
148,148,Micheal 328i got to the colonies not conductive Beauty,0.8132147192955017,Micheal Way
149,149,Dana Vision that John I went to return to camp,0.5078379511833191,Dana Circle
151,151,half at the front desk of are going to male and females outside and of 415,0.8186451196670532,Front Street
153,153,Ridgeway College kittens the Orville,0.7441515326499939,"Ridgeway , College Drive"
155,155,Scott,0.3645367324352264,Scott Drive
157,157,Santana one respond with you medic 2 1 5 5 5 Archway for cardiac,0.6749100089073181,Santana Court
158,158,feather Rock,0.5525298118591309,"Feather Avenue , Feather Rock Court"
159,159,Hudson County resident a lot of static at the Ada 195 and I'll need the rest,0.799315333366394,"Hudson Avenue , A Street"
160,160,Heavenly one,0.6008478403091431,Heavenly Place
161,161,probably under their extended on coming from student Canyon,0.6996641755104065,Canyon Drive
162,162,Michael for difficulty breathing First Church of the Nazarene 1184 East Avenue across the Ceres Avenue and Flora is to Parliament,0.8194756507873535,"Michael Lane , Church Street , East Street , East Avenue , Ceres Circle , Ceres Avenue , Parliament Court"
163,163, happy Factory Roberts Road elderly and for Wisconsin about 40s,0.7692685723304749,"Roberts Road , Roberts Road , Wisconsin Street"
164,164,Tyra 36,0.6269626617431641,Tyra Court
165,165,1st 2nd and 3rd or up I'll check the other ones now,0.8513983488082886,"1st Avenue , 2nd Avenue , 3rd Avenue"
166,166,Woodcraft has flagged down by a neighbor at the mall,0.7638113498687744,"Woodcraft Road , A Street , Neighbor Street"
167,167,Emma Baxter Hall,0.7559245228767395,"Emma Avenue , Hall Drive"
168,168,affirmative lynterlee now why we are Ellie way and blue feather road,0.834717333316803,"Lynterlee Way , Blue Feather Road , Blue Feather Road"
169,169,31 is David Hayes five four one nine one nine less of trouble,0.8286660313606262,"David Court , Hayes Lane"
172,172,Kerr,0.5800735354423523,Kerr Lane
176,176,Turner Isabella complex.com,0.3989664018154144,Turner Avenue
181,181,some time,0.5152467489242554,Some Way
183,183,23 and if you want audible alarm at Enterprise manzanella Way,0.7829789519309998,Manzanella Court
184,184,Tres just want to let you know industry leaders from that Old humble Roost Road,0.8473865985870361,Humble Avenue
186,186,century 81.32,0.5291174054145813,Century Court
189,189,Fargo firefighters 933,0.6029415726661682,Fargo Court
191,191,four main Recreation Area,0.6344490051269531,Main Street
193,193,five would be letter X medical her bleeding from a fall crackers - visit roseleaf Garden to seven seven zero zero there Elena and building a Adam casierra Sunrise Terrace and Wadi Common People far 1139,0.8200733065605164,"A Street , Roseleaf Court , Garden Drive , A Street , Casierra Drive , Sunrise Lane , Terrace Lane"
194,194,Oroville in 1472 thin quarter station 36,0.6811618804931641,Oroville Avenue
197,197,Shari 71,0.685417890548706,Shari Lane
198,198,Firefly,0.6904980540275574,Firefly Court
200,200,I've been watching the next motherfucker pleading su-35 to Porter ways to be a ten-month-old present randlyn to Avenue these are so pretty,0.8421438932418823,"Porter Court , A Street , Randlyn Road"
201,201,Maddox Midway Nelson's 1029,0.7225394248962402,"Midway Drive , Nelson Lane"
204,204,e 1st fun,0.5605813264846802,"E Street , E 1st Street"
205,205,33 company 33 be about X medical chain 6 2 4 5 0 at Fort Clatsop Retson Road sir Senator Gage break,0.7931095957756042,"Retson Road , Retson Road , Gage Road"
206,206,staff with you and Quarter Stitch 42,0.7731929421424866,Staff Drive
207,207,it's transients trying to take Spies of a vacuum,0.824555516242981,A Street
209,209,Chico fire and his thirst,0.7766271233558655,Chico Street
210,210,single fiber where the crisis there,0.6328237652778625,Single Lane
212,212,Ernest 2162 padua's KX y 9 6,0.6621610522270203,Ernest Avenue
213,213,Alma de o fire fire,0.649323582649231,Alma Street
214,214,picnic,0.35913851857185364,Picnic Lane
215,215,has a dent on the driver side rear quarter panel,0.8962385654449463,A Street
216,216,Hickory one,0.5178582072257996,Hickory Way
217,217,Bravo for 75 grand,0.700937032699585,"Bravo Way , Grand Court"
218,218,Travis,0.5947579741477966,Travis Road
221,221,Cheri was beginning ashes and express Carla,0.7464272975921631,Cheri Lane
222,222,Reagan for girls,0.6398490071296692,Reagan Place
224,224,Circle,0.4126752316951752,Circle Lane
225,225,Pam 215,0.4854855537414551,Pam Court
228,228,creative,0.5170738697052002,Creative Lane
231,231,Ayers down 45C States,0.6568013429641724,Ayers Avenue
232,232,three on the Medics Escalade 2.75 Greenville Street Casa Griffin Avenue the difficulties,0.8090673089027405,"Greenville Street , Greenville Street , Casa Drive"
237,237,Segura 421a transport close he's gay place,0.7368826270103455,Segura Drive
238,238,Fargo fire,0.6911612153053284,Fargo Court
239,239,gopher exercise,0.7033851742744446,Gopher Road
240,240,Sabine 9110 18 Ralph Whitmire and,0.6847488880157471,"Sabine Road , Ralph Way"
241,241,Stephen Covey is leaving she's right here,0.7901291847229004,Covey Court
242,242,5th,0.6174256205558777,5th Avenue
244,244,French were confirming Alexis Ephesus,0.6424906849861145,"French Avenue , Alexis Lane"
247,247,okay whatever,0.7386384010314941,Whatever Lane
249,249,Anthony I'll replace 14,0.7258632779121399,Anthony Lane
250,250,Morgan Storage one,0.6716593503952026,Morgan Drive
251,251,Travis started pretty packed tenements,0.6055499315261841,Travis Road
252,252,Covington fourth 2405,0.49815434217453,Covington Court
253,253,Park,0.4649109840393066,Park Way
255,255,probably have to backtrack 50 75 yards to vallombrosa Circle,0.8193877339363098,"Vallombrosa Way , Vallombrosa Circle"
256,256,I believe I'm Hillary the second suspect sitting oppressed are always around me come,0.8446807861328125,Hillary Lane
257,257,he provided they were of the crystal permitting away in the parking lot,0.78190678358078,Crystal Lane
258,258,twin I'll fire,0.7394120693206787,Twin Lane
260,260,the RP yelled at the subject and then that subject fled westbound on East Avenue,0.8103187680244446,"East Street , East Avenue"
261,261, Cathy very wonderful,0.7580307722091675,Cathy Lane
263,263,Harvey is advising they've got him handcuffed now walking back in the store,0.8062936067581177,Harvey Road
264,264,Sandra,0.5544347763061523,Sandra Lane
265,265,lasso commotion Robert Robert Edward Sam first of Marietta Robert King oceans,0.7753382921218872,Edward Drive
266,266,don't be pathetic plus all over this was back in Victorian Park come on,0.8196734189987183,Victorian Park Drive
267,267,Park,0.4552939832210541,Park Way
268,268,Navarro philosophy,0.7858530879020691,Navarro Drive
269,269,Cathy Council Amazon,0.5864887237548828,Cathy Lane
270,270,walk in front of,0.8771954178810121,Front Street
273,273,Centurion doesn't George Robert Baker 0 to 7 black,0.709518313407898,"Centurion Way , Baker Drive"
274,274,his name is joy we have entered the country under Doyle Mullins 210 of 84 of architecture for finance,0.8480607271194458,"Joy Lane , Country Drive"
275,275,Coventry 10,0.9127718806266784,Coventry Drive
278,278,feather location VIs,0.854812741279602,Feather Avenue
280,280,Hart,0.5417998433113098,Hart Lane
282,282,Travis,0.6427362561225891,Travis Road
283,283,Ivy s20 out on sale,0.6268033385276794,"Ivy Street , Sale Avenue"
287,287,contact elephant she's a staff member there she's with a guy,0.844940721988678,"A Street , Staff Drive , A Street"
288,288,Crown right back,0.6200283169746399,Crown Court
289,289,five sample return to quarters chicken which is 5,0.6909433007240295,Which Way
291,291,forty seven dollars it right between Taco Bell's Kinnear,0.7097988724708557,Bell Road
292,292,Iris 24 hours,0.6105950474739075,Iris Lane
294,294,that was a female last of,0.764536440372467,A Street
295,295,Farris,0.4203563928604126,Farris Road
298,298,Aloha 71st Melville response area,0.7370747923851013,Aloha Lane
299,299,Kern award arrested,0.620953381061554,Kern Street
300,300,Troy,0.4433906972408295,Troy Way
301,301,Hollis,0.5831601023674011,Hollis Lane
302,302,Medicals result of a TC 64 Kennedy Avenue to you and Gavin Rachel really,0.8368074297904968,"A Street , Kennedy Avenue , Kennedy Avenue"
306,306,Frances,0.5680431723594666,Frances Drive
308,308,okay so good to drive up that way here little bit will see up there somewhere,0.8037776947021484,Little Avenue
310,310,Sedona 2003 Honda Accord has the back window that chatter doubtless or being in passing on one way of blessing towards the DTA and wnit tests personality tests,0.8420871496200562,Sedona Avenue
311,311,two is really cheesy Salty Sea because station Chico fire radio check,0.7948570251464844,Chico Street
313,313,Troy Travis myself,0.6159453392028809,"Troy Way , Travis Road"
314,314,Center one it Medics medical possible heart attack Carolyn Department x27 explanation,0.8257599472999573,"Center Street , Carolyn Lane"
316,316,female that was causing a disturbance inside the bar refusing to leave she's an HSA with curly dark hair,0.8520733118057251,A Street
317,317,portal 1727,0.6649924516677856,Portal Drive
318,318,Jackie Captain cases go ahead,0.6924020648002625,"Jackie Drive , Go Street"
319,319,G of 35 you can add 7711 377 and 11,0.7867547869682312,G Road
320,320,Eagle for sale,0.4457571506500244,Sale Avenue
321,321,Marvin Williams anymore,0.6635288000106812,"Marvin Drive , Williams Drive"
322,322,California last week,0.560552716255188,California Way
323,323,Thelma,0.5484805107116699,Thelma Court
324,324,Jefferson,0.3834848701953888,Jefferson Street
326,326,Timber,0.3670122623443604,Timber Lane
327,327,Trevor how that comes down to after this evening,0.6326590180397034,Trevor Road
328,328,forty press outside cleaning service,0.7897527813911438,Service Street
329,329,engine for extinguish so fire and the Walmart parking lot 2044 Forest Avenue crosses Parkway Village Drive in Whitmire dry,0.8479288816452026,"Forest Lane , Forest Avenue , Parkway Drive , Parkway Village Drive , Parkway Village Drive"
330,330,three times does your guy have a car or a location where I'm at,0.8733864426612854,"A Street , A Street"
334,334,Phaeton God's judgment service,0.6324612498283386,"Phaeton Drive , Service Street"
337,337,Heavenly Council like Mariah Carey private station,0.7007381319999695,"Heavenly Place , Mariah Lane"
341,341,four five nights will be a coal car,0.6754086017608643,A Street
342,342,Fresno,0.5685160160064697,Fresno Avenue
344,344,Cummings,0.6589072942733765,Cummings Road
345,345,service reforms for 43 years,0.6394624710083008,Service Street
348,348,Brice 11 copies thank you,0.7532304525375366,Brice Avenue
349,349,Biggs / 54 and suspicious circuit that's fine,0.7272166013717651,Biggs Avenue
350,350,portal just going to oneself,0.5630578994750977,Portal Drive
351,351,Nora,0.5090656876564026,Nora Way
352,352,fairly readable be advised that will support from PD of a possible new small Superior fire in the area of pentz road at Sierra Del forth once again pentz Road at Sierra Del Sol another near across is the Nestle Reservoir Road,0.8751544356346129,"A Street , Pentz Road , Pentz Road , Sierra Avenue , Pentz Road , Pentz Road , Sierra Avenue , Sierra Del Sol , Another Lane , Reservoir Road , Reservoir Road"
354,354,farview bags respond to medical and Consciousness 379 East Park Avenue,0.8203264474868774,"Farview Court , East Street , Park Way , Park Avenue"
356,356,6th picture in three nine seven one,0.7540318369865417,6th Avenue
357,357,all units responding to a staging for or had seen at the camp incident switched abuse support for command used for for command here TechNet pack 11 be fired 26 CTS backed by Orville repeating all units responding to a chain has were stated for the campus it has switched abuse support for command your TechNet stack 11 these are 26 GS pack 5 December traffic,0.8771589398384094,"A Street , A Street , Campus Drive"
361,361,Covey,0.3584393560886383,Covey Court
362,362,hidden to Armament blade eat Highlands Terrace classification,0.7230769991874695,"Highlands Avenue , Highlands Terrace"
363,363,zepher 60 106 Ripley,0.8317055702209473,"Zepher Way , Ripley Lane"
364,364,happy to take my word for it,0.6895932555198669,My Way
366,366,five four 142 Brown and Brown,0.6866593956947327,"Brown Avenue , Brown Avenue"
367,367,s a,0.38529783487319946,A Street
371,371,church parking lot burn up and class it says she was assaulted by her boyfriend,0.7620393633842468,Church Street
372,372,single virus has five different pieces of itself,0.5950824022293091,Single Lane
374,374,I'm on the fence about the survey City a little bit,0.7354292273521423,"A Street , Little Avenue"
375,375,137 verbal dispute Waco parking lot,0.8273704648017883,Waco Lane
378,378,aloha,0.3643147945404053,Aloha Lane
380,380,flicker for over your head,0.6150559186935425,Flicker Lane
381,381,Trevor 1085,0.5530136823654175,Trevor Road
382,382,I work a lot cliff,0.6918264031410217,"A Street , Cliff Drive"
383,383,it is 41 Public Assistance North Country School I-55 for California Street,0.7779917716979979,"North Road , Country Drive , School Street , California Way , California Street"
384,384,Retreat around passenger found,0.6204274296760559,Retreat Road
386,386,forty five you better clinical Man Down nine three seven nine could be the street between Durham Street and dirty and Highway their disaster,0.8321357965469359,"Durham Street , Durham Street"
391,391,par her 27 does return out of Magalia,0.699917733669281,Magalia Drive
392,392,Governors and,0.6523631811141968,Governors Lane
393,393,yellow Adam palsy really three on a silver Nissan Murano,0.7763771414756775,A Street
394,394,however Stephen with a pH same last name and birthdate out of paradise found,0.8228533267974854,"A Street , Paradise Avenue"
395,395,Reclamation Preston have you arrested,0.708450436592102,Reclamation Road
396,396,Crest group a teacup,0.5528526902198792,"Crest Drive , A Street"
402,402,Trevor,0.3487023115158081,Trevor Road
403,403,I copied that your cookware I have an Anthony King 219 of 85 to have another go ahead,0.7939183115959167,"Anthony Lane , Another Lane , Go Street"
404,404,fir,0.54155433177948,Fir Street
405,405,6th identify suspicious underground's 27 27 Cedar Park West Express,0.6564496159553528,"6th Avenue , Cedar Street , Cedar Park Drive , West Drive"
406,406,careful it's parked in front,0.8376811742782593,Front Street
407,407,do we have Cons with our unit,0.8161914944648743,Our Way
409,409,earlier that reported possible LPG leads to very has not been compromised by fire was there a nelly rep that made the report still in the area you know waiting to meet me,0.8624566793441772,A Street
410,410,Chris is requesting a welfare check on his wife she's refusing to get a battery order,0.8237851858139038,"Chris Court , A Street , A Street"
411,411,Dominic,0.418413907289505,Dominic Drive
417,417,Fay,0.4505947530269623,Fay Way
418,418,and we don't have a plate,0.755257248878479,A Street
421,421,real nice breakfast,0.6729958057403564,Nice Place
424,424,Bennett re-clean Robert 992,0.6373201012611389,Bennett Road
427,427,gopher,0.6732754111289978,Gopher Road
428,428,abstract yesterday across the street and on the 4th Avenue a box,0.8233336210250854,"4th Avenue , 4th Avenue , A Street"
429,429,Jacob 43 skirt forms,0.6569065451622009,Jacob Street
433,433,Meyers is five Hazard medicated it just,0.7093557119369507,Meyers Lane
434,434,and my setup,0.5785303711891174,My Way
435,435,portal,0.35591006278991705,Portal Drive
436,436,go ahead Charlie,0.7560797333717346,Go Street
437,437, Zack up,0.6307703256607056,Zack Circle
438,438,mother and Evergreen is the RO and,0.7864090800285339,Evergreen Lane
440,440,F related,0.5713609457015991,F Street
441,441,Purcell control to one for Camelot,0.7407249808311462,"Purcell Lane , Camelot Lane"
443,443,staff are several Solutions looks very good,0.7181063890457153,Staff Drive
444,444,Roberts obvious 50 mile-an-hour winds peculiar from the reservoir side super Fortress Falls always use billion equipment offer temporary Refuge areas,0.8874650001525879,"Roberts Road , Reservoir Road , Fortress Street , Refuge Avenue"
445,445,your golf division making commands,0.698013961315155,Golf Road
447,447,zepher,0.455180436372757,Zepher Way
449,449,Stargate too fast,0.5746039152145386,Stargate Lane
450,450,Chris encountered had 12:3 and 59 is returning valid her 29 declare she is also the owner of the Buick which is,0.8332195281982422,"Chris Court , Which Way"
451,451,Rossi,0.5094859600067139,Rossi Way
452,452,mind trying to get a hold,0.8758462071418762,A Street
454,454,Cardinal fire,0.7816746234893799,Cardinal Court
455,455,copy a j 3 you'll be responding with difficulty breathing at the auto rescue mission 40 to 50 Lincoln Boulevard Tyme out 18,0.7944411039352417,"A Street , Mission Road , Lincoln Boulevard , Lincoln Drive , Tyme Way"
456,456,Pepe operations grandstand,0.5927426815032959,Pepe Circle
457,457,Baroni 2167 we met up with engine 1769 approximately 3 miles north of France gave you have anything further,0.8463450074195862,"Baroni Way , North Road"
459,459,really clear for the driver of the Camry white,0.906291961669922,White Drive
461,461,Trevor,0.6948924064636229,Trevor Road
462,462,Trevor and Mary Randolph,0.6736741662025452,"Trevor Road , Mary Lane , Randolph Avenue"
463,463,well with 1/5 David's Bridal just for tonight,0.8412011861801147,David Court
464,464,red six division Yankee I've got 44 golf ready to engage once we get clear that they can walk down the track,0.8695343136787415,Golf Road
465,465,Diane expedia's respond code 3 2 3 3 7 mean,0.847595751285553,Diane Court
468,468,Shepard,0.4840661287307739,Shepard Lane
470,470,Placer trailer,0.6641826629638672,Placer Lane
471,471,don't try to copy what you have such a desire for example is not day,0.7308963537216187,A Street
472,472,e 17th and mulberry,0.7916318774223328,"E Street , E 17th Street , Mulberry Lane"
473,473,Trevor,0.6723483204841614,Trevor Road
474,474,Kelsey our house fire prior contacts with clear and license suspended,0.8041291832923889,"Kelsey Drive , Our Way , House Avenue"
475,475,unknown medical problems 1425 North Avenue apartment number 18,0.6915034055709839,"North Road , North Avenue"
476,476,have my throat from a different,0.8138809800148009,"My Way , A Street"
477,477,Forest,0.4347414970397949,Forest Lane
478,478,Stanford six three zero three zero 6303 Abbey Road cross and lucky lady Lane that check on James and Anthony we checked on yesterday to shelter in place Deniz working on getting out,0.8355247974395752,"Stanford Avenue , Lucky Lady Lane , Lucky Lady Lane , James Drive , Anthony Lane"
479,479,I'm not smoking is a freshman Skyway,0.8094537258148193,"A Street , Skyway Road"
482,482,flag for Camp I see our commands,0.6039530038833618,Our Way
483,483,go ahead,0.7374029159545898,Go Street
484,484,French 3 red sticker class,0.773502767086029,French Avenue
487,487,Hart,0.3657538592815399,Hart Lane
488,488,Tyme 0-5 Lincoln Boulevard and showing the self-help motion for the,0.7618593573570251,"Tyme Way , Lincoln Boulevard , Lincoln Drive , Self Lane"
489,489,Covey,0.5992290377616882,Covey Court
490,490,4710 8:35 remaining Cooks,0.7427682876586914,Cooks Way
492,492, London area to handle 1950s,0.7697886824607849,London Court
493,493,Elliott advising that the issue has resolved itself stage left the scene trying to tell you,0.7968403697013855,"Elliott Road , Stage Road"
494,494,house is secure doctor said for the moment,0.8496291637420654,House Avenue
495,495,shock,0.4106430113315582,Shock Way
496,496,37 532 see advisor coming down for one on the skyway,0.8052021265029907,Skyway Road
501,501,1st,0.605198085308075,1st Avenue
503,503,selfies you need a store location,0.7792748212814331,A Street
504,504,stop is management of forests still needs to go to a special place,0.7381973266601562,"Go Street , A Street"
505,505,Reese and assemble this phone number he had been to the house for Hannah,0.7911948561668396,"Reese Road , House Avenue"
507,507,Terrance surprises,0.6174627542495728,Terrance Lane
510,510,country,0.4402340650558472,Country Drive
511,511, for the holidays had a service for the evening,0.7806055545806885,"A Street , Service Street"
512,512,Pleasant Valley 4:06 47,0.6360390782356262,"Pleasant Lane , Valley Court"
513,513,Tina,0.4908858239650726,Tina Court
518,518,fig advised ambulance Ernie of the playground area the table coming I just call them,0.7394202351570129,"Fig Street , Ernie Lane"
522,522,going to take a call earlier from an Andrew Duran Society was advised that he would need to follow up with the business tomorrow,0.8585601449012756,"A Street , Andrew Place , Business Lane"
523,523,Nelson,0.4999740421772003,Nelson Lane
524,524,Penny from East Avenue hot tub,0.6018496751785278,"Penny Lane , East Street , East Avenue"
525,525,address is not going across recent history we have this Sunday school related to the center,0.8262756466865541,"Sunday Drive , School Street , Center Street"
526,526,their advice and have a family for 15,0.6312036514282227,"A Street , Family Way"
527,527,Trent one contact 19 ideas Calle Court 1734,0.7899137735366821,Trent Street
528,528,it is Adam ma Orange,0.7525104284286499,Orange Avenue
529,529,forty one case number 63 Ethan Gilbert,0.7617321014404297,Gilbert Lane
530,530,there are cells will structures along up on roast at West Park,0.7573702931404114,"West Drive , Park Way"
531,531,NXT senior 1055 a classic,0.8674700856208801,A Street
533,533,musically with a 1066 vehicle anything else,0.8064886331558228,A Street
534,534,as I need Medics medical friend unconscious subject at 18th and coelom subject in a white Prius appears passed out we found in the backseat come out of there with 611,0.8727598190307617,"18th Street , A Street , White Drive"
537,537,Parker right now and baseball cap and a white female black soldier lie there,0.7705483436584473,"Parker Way , A Street , White Drive"
538,538,Oregon digestive,0.4027798175811768,Oregon Street
539,539,Timber,0.8106603026390076,Timber Lane
541,541,go ahead let's beneficial if we can open up,0.8405187726020813,Go Street
543,543,Fox Trot 1 1 2 radiator,0.7445225119590759,Fox Road
544,544,Coffey I went and got a second piece to helicopters,0.7119943499565125,"Coffey Lane , A Street"
545,545, fir six selfies thank you,0.6521458625793457,Fir Street
546,546,Wonder,0.3617362082004547,Wonder Lane
547,547,Wanda,0.3647167980670929,Wanda Lane
548,548,Ripley wonderful message to MPT,0.6129871010780334,Ripley Lane
549,549,five subtract nine Eagle Crest Road,0.7125392556190491,Crest Drive
550,550,Prince of Persia,0.7820149660110474,Prince Road
551,551,garnet,0.6074414849281311,Garnet Lane
554,554,country that's match ever,0.6839038729667664,Country Drive
555,555,Drake aniconic fudge again,0.6440107822418213,Drake Court
558,558,Caroline 55,0.6150291562080383,Caroline Drive
559,559,acacia,0.3670713007450104,Acacia Avenue
560,560,River Freddy,0.5287793278694153,River Avenue
562,562,Erie about the address,0.6623241901397705,Erie Court
563,563,24:38 welfare check possible 5150 at the Oakmont two eight zero one still has a roof,0.7960704565048218,A Street
564,564,additionally Medics are responding to immediate care for possible cardiac Immediate Care 376 vallombrosa,0.8675791621208191,Vallombrosa Way
565,565,Coffey thank you will be 25,0.6147475242614746,Coffey Lane
566,566,1st place for ground support for a out of service,0.7215588688850403,"1st Avenue , A Street , Service Street"
568,568,grass types,0.5681441426277161,Grass Court
569,569,I mean that's what we had on making a mess,0.7947465777397156,A Street
571,571,Oak Street,0.4684870839118958,"Oak Avenue , Oak Street"
572,572,pheasant 2163,0.6776373982429504,Pheasant Lane
573,573,June 1 public assist help up at 1712 would be late,0.7128086090087891,June Way
574,574,Kathy tow Vehicle Systems Center,0.5755635499954224,"Kathy Lane , Center Street"
575,575,Transit Connect tough step connecting for piece of equipment real quick while we were to Fire Equipment back and forth,0.8102346658706665,Transit Way
576,576,French to golf you have traffic,0.7483188509941101,"French Avenue , Golf Road"
577,577,Farris okay,0.43263009190559387,Farris Road
578,578,sesame,0.5465030670166016,Sesame Street
582,582,honey whatever stage of 45 star 9:30,0.7056877613067627,"Whatever Lane , Stage Road , Star Road"
583,583,1st finger ever seen Jason,0.5419219136238098,"1st Avenue , Jason Court"
